factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.5824864867,-73.9721652753
PUBLIC K-12 SCHOOLS,40.8065287981,-73.9513709892
PUBLIC K-12 SCHOOLS,40.5519778817,-74.1954531479
PUBLIC K-12 SCHOOLS,40.8233762671,-73.9074702117
PUBLIC K-12 SCHOOLS,40.7237671852,-73.981723206
PUBLIC K-12 SCHOOLS,40.8826493198,-73.8321067876
PUBLIC K-12 SCHOOLS,40.6428515301,-74.0792728708
PUBLIC K-12 SCHOOLS,40.6579408805,-73.8440141607
PUBLIC K-12 SCHOOLS,40.765672535,-73.9931672326
PUBLIC K-12 SCHOOLS,40.6366989326,-74.023364945
PUBLIC K-12 SCHOOLS,40.8437806743,-73.784759206
PUBLIC K-12 SCHOOLS,40.7432825321,-73.9333393514
PUBLIC K-12 SCHOOLS,40.5803010639,-73.9351004446
PUBLIC K-12 SCHOOLS,40.7089758734,-74.0124729394
PUBLIC K-12 SCHOOLS,40.6572456753,-73.9276654603
PUBLIC K-12 SCHOOLS,40.7162312885,-74.0116390023
PUBLIC K-12 SCHOOLS,40.6491887133,-73.9719959662
PUBLIC K-12 SCHOOLS,40.888220095,-73.8526690893
PUBLIC K-12 SCHOOLS,40.7960101379,-73.9445668908
PUBLIC K-12 SCHOOLS,40.6677856477,-73.8981963911
PUBLIC K-12 SCHOOLS,40.7464702154,-73.9809935726
PUBLIC K-12 SCHOOLS,40.8798479904,-73.9107662107
PUBLIC K-12 SCHOOLS,40.8517473405,-73.8988340051
PUBLIC K-12 SCHOOLS,40.7313102503,-74.0074641546
PUBLIC K-12 SCHOOLS,40.8545597444,-73.8529288625
PUBLIC K-12 SCHOOLS,40.8091249516,-73.9175901722
PUBLIC K-12 SCHOOLS,40.5817970266,-74.1589406715
PUBLIC K-12 SCHOOLS,40.8913843977,-73.8387872201
PUBLIC K-12 SCHOOLS,40.7937337811,-73.9486218881
PUBLIC K-12 SCHOOLS,40.7914616,-73.9709716523
PUBLIC K-12 SCHOOLS,40.7361103717,-73.9923507794
PUBLIC K-12 SCHOOLS,40.742297631,-73.8930684874
PUBLIC K-12 SCHOOLS,40.8399407097,-73.8391403031
PUBLIC K-12 SCHOOLS,40.8136570161,-73.9084558397
PUBLIC K-12 SCHOOLS,40.649622334,-73.9664255327
PUBLIC K-12 SCHOOLS,40.9023061308,-73.854449416
